[/bin/bash] 1102717############################################
[/bin/bash] ## Starting Python Python 3.8.3
[/bin/bash] ## Training using algorithm ppo from framework CleanRL
[/bin/bash] ## On environment CartPole-v1 with 100000 timesteps
[/bin/bash] ## This is repetition 3/3
[/bin/bash] ## This is s2989344 on node007 and this job has the ID 3933235
[/bin/bash] ##############################################
[/bin/bash] ## current working directory: /home/s2989344/Documents/MSc/CleanRL
[/bin/bash] ## current python version: Python 3.8.3
[/bin/bash] ## python from path: /home/s2989344/.conda/envs/CleanRL/bin/python
[/bin/bash] ## list of packages: # packages in environment at /home/s2989344/.conda/envs/CleanRL: # # Name Version Build Channel _libgcc_mutex 0.1 main _openmp_mutex 5.1 1_gnu absl-py 1.4.0 pypi_0 pypi ale-py 0.8.1 pypi_0 pypi appdirs 1.4.4 pypi_0 pypi autorom 0.4.2 pypi_0 pypi autorom-accept-rom-license 0.6.1 pypi_0 pypi ca-certificates 2025.2.25 h06a4308_0 cachetools 5.3.0 pypi_0 pypi certifi 2023.5.7 pypi_0 pypi charset-normalizer 3.1.0 pypi_0 pypi click 8.1.3 pypi_0 pypi cloudpickle 2.2.1 pypi_0 pypi colorama 0.4.4 pypi_0 pypi commonmark 0.9.1 pypi_0 pypi cycler 0.11.0 pypi_0 pypi decorator 4.4.2 pypi_0 pypi docker-pycreds 0.4.0 pypi_0 pypi docstring-parser 0.15 pypi_0 pypi farama-notifications 0.0.4 pypi_0 pypi filelock 3.12.0 pypi_0 pypi fonttools 4.38.0 pypi_0 pypi gitdb 4.0.10 pypi_0 pypi gitpython 3.1.31 pypi_0 pypi glfw 1.12.0 pypi_0 pypi google-auth 2.18.0 pypi_0 pypi google-auth-oauthlib 0.4.6 pypi_0 pypi grpcio 1.54.0 pypi_0 pypi gym 0.23.1 pypi_0 pypi gym-notices 0.0.8 pypi_0 pypi gymnasium 0.28.1 pypi_0 pypi huggingface-hub 0.11.1 pypi_0 pypi idna 3.4 pypi_0 pypi imageio 2.28.1 pypi_0 pypi imageio-ffmpeg 0.3.0 pypi_0 pypi importlib-metadata 5.2.0 pypi_0 pypi importlib-resources 5.12.0 pypi_0 pypi jax-jumpy 1.0.0 pypi_0 pypi kiwisolver 1.4.4 pypi_0 pypi ld_impl_linux-64 2.40 h12ee557_0 libffi 3.3 he6710b0_2 libgcc-ng 11.2.0 h1234567_1 libgomp 11.2.0 h1234567_1 libstdcxx-ng 11.2.0 h1234567_1 markdown 3.3.7 pypi_0 pypi markupsafe 2.1.2 pypi_0 pypi matplotlib 3.5.3 pypi_0 pypi moviepy 1.0.3 pypi_0 pypi mujoco 2.3.3 pypi_0 pypi ncurses 6.4 h6a678d5_0 numpy 1.24.4 pypi_0 pypi oauthlib 3.2.2 pypi_0 pypi opencv-python 4.7.0.72 pypi_0 pypi openssl 1.1.1w h7f8727e_0 packaging 23.1 pypi_0 pypi pandas 1.3.5 pypi_0 pypi pathtools 0.1.2 pypi_0 pypi pillow 9.5.0 pypi_0 pypi pip 24.2 py38h06a4308_0 proglog 0.1.10 pypi_0 pypi protobuf 3.20.3 pypi_0 pypi psutil 5.9.5 pypi_0 pypi pyasn1 0.5.0 pypi_0 pypi pyasn1-modules 0.3.0 pypi_0 pypi pygame 2.1.0 pypi_0 pypi pygments 2.15.1 pypi_0 pypi pyopengl 3.1.6 pypi_0 pypi pyparsing 3.0.9 pypi_0 pypi python 3.8.3 hcff3b4d_2 python-dateutil 2.8.2 pypi_0 pypi pytz 2023.3 pypi_0 pypi pyyaml 6.0.1 pypi_0 pypi readline 8.2 h5eee18b_0 requests 2.30.0 pypi_0 pypi requests-oauthlib 1.3.1 pypi_0 pypi rich 11.2.0 pypi_0 pypi rsa 4.7.2 pypi_0 pypi sentry-sdk 1.22.2 pypi_0 pypi setproctitle 1.3.2 pypi_0 pypi setuptools 67.7.2 pypi_0 pypi shimmy 1.1.0 pypi_0 pypi shtab 1.6.4 pypi_0 pypi six 1.16.0 pypi_0 pypi smmap 5.0.0 pypi_0 pypi sqlite 3.45.3 h5eee18b_0 stable-baselines3 2.0.0 pypi_0 pypi tenacity 8.2.3 pypi_0 pypi tensorboard 2.11.2 pypi_0 pypi tensorboard-data-server 0.6.1 pypi_0 pypi tensorboard-plugin-wit 1.8.1 pypi_0 pypi tk 8.6.14 h39e8969_0 torch 1.12.1 pypi_0 pypi tqdm 4.65.0 pypi_0 pypi typing 3.7.4.3 pypi_0 pypi typing-extensions 4.5.0 pypi_0 pypi tyro 0.5.10 pypi_0 pypi urllib3 1.26.15 pypi_0 pypi wandb 0.13.11 pypi_0 pypi werkzeug 2.2.3 pypi_0 pypi wheel 0.40.0 pypi_0 pypi xz 5.6.4 h5eee18b_1 zipp 3.15.0 pypi_0 pypi zlib 1.2.13 h5eee18b_1
[/bin/bash] ##############################################
[/bin/bash] ## Start run script
/home/s2989344/.conda/envs/CleanRL/lib/python3.8/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
global_step=24, episodic_return=[24.]
global_step=49, episodic_return=[25.]
global_step=70, episodic_return=[21.]
global_step=94, episodic_return=[24.]
global_step=108, episodic_return=[14.]
global_step=119, episodic_return=[11.]
global_step=166, episodic_return=[47.]
global_step=181, episodic_return=[15.]
global_step=208, episodic_return=[27.]
global_step=257, episodic_return=[49.]
global_step=278, episodic_return=[21.]
global_step=304, episodic_return=[26.]
global_step=318, episodic_return=[14.]
global_step=339, episodic_return=[21.]
global_step=347, episodic_return=[8.]
global_step=359, episodic_return=[12.]
global_step=380, episodic_return=[21.]
global_step=394, episodic_return=[14.]
global_step=432, episodic_return=[38.]
global_step=442, episodic_return=[10.]
global_step=451, episodic_return=[9.]
global_step=503, episodic_return=[52.]
global_step=537, episodic_return=[34.]
global_step=553, episodic_return=[16.]
global_step=569, episodic_return=[16.]
global_step=588, episodic_return=[19.]
global_step=602, episodic_return=[14.]
global_step=618, episodic_return=[16.]
global_step=631, episodic_return=[13.]
global_step=653, episodic_return=[22.]
global_step=672, episodic_return=[19.]
global_step=699, episodic_return=[27.]
global_step=716, episodic_return=[17.]
global_step=744, episodic_return=[28.]
global_step=768, episodic_return=[24.]
global_step=781, episodic_return=[13.]
global_step=798, episodic_return=[17.]
global_step=818, episodic_return=[20.]
global_step=855, episodic_return=[37.]
global_step=901, episodic_return=[46.]
global_step=920, episodic_return=[19.]
global_step=934, episodic_return=[14.]
global_step=957, episodic_return=[23.]
global_step=1010, episodic_return=[53.]
global_step=1048, episodic_return=[38.]
global_step=1081, episodic_return=[33.]
global_step=1097, episodic_return=[16.]
global_step=1106, episodic_return=[9.]
global_step=1125, episodic_return=[19.]
global_step=1145, episodic_return=[20.]
global_step=1161, episodic_return=[16.]
global_step=1191, episodic_return=[30.]
global_step=1204, episodic_return=[13.]
global_step=1219, episodic_return=[15.]
global_step=1236, episodic_return=[17.]
global_step=1257, episodic_return=[21.]
global_step=1270, episodic_return=[13.]
global_step=1283, episodic_return=[13.]
global_step=1318, episodic_return=[35.]
global_step=1343, episodic_return=[25.]
global_step=1369, episodic_return=[26.]
global_step=1381, episodic_return=[12.]
global_step=1395, episodic_return=[14.]
global_step=1415, episodic_return=[20.]
global_step=1426, episodic_return=[11.]
global_step=1443, episodic_return=[17.]
global_step=1505, episodic_return=[62.]
global_step=1530, episodic_return=[25.]
global_step=1544, episodic_return=[14.]
global_step=1563, episodic_return=[19.]
global_step=1583, episodic_return=[20.]
global_step=1596, episodic_return=[13.]
global_step=1615, episodic_return=[19.]
global_step=1630, episodic_return=[15.]
global_step=1643, episodic_return=[13.]
global_step=1688, episodic_return=[45.]
global_step=1708, episodic_return=[20.]
global_step=1737, episodic_return=[29.]
global_step=1770, episodic_return=[33.]
global_step=1783, episodic_return=[13.]
global_step=1801, episodic_return=[18.]
global_step=1819, episodic_return=[18.]
global_step=1829, episodic_return=[10.]
global_step=1846, episodic_return=[17.]
global_step=1866, episodic_return=[20.]
global_step=1875, episodic_return=[9.]
global_step=1892, episodic_return=[17.]
global_step=1912, episodic_return=[20.]
global_step=1931, episodic_return=[19.]
global_step=1945, episodic_return=[14.]
global_step=1959, episodic_return=[14.]
global_step=1983, episodic_return=[24.]
global_step=2001, episodic_return=[18.]
global_step=2014, episodic_return=[13.]
SPS: 585
global_step=2054, episodic_return=[40.]
global_step=2067, episodic_return=[13.]
global_step=2109, episodic_return=[42.]
global_step=2132, episodic_return=[23.]
global_step=2188, episodic_return=[56.]
global_step=2209, episodic_return=[21.]
global_step=2265, episodic_return=[56.]
global_step=2297, episodic_return=[32.]
global_step=2311, episodic_return=[14.]
global_step=2323, episodic_return=[12.]
global_step=2344, episodic_return=[21.]
global_step=2365, episodic_return=[21.]
global_step=2398, episodic_return=[33.]
global_step=2418, episodic_return=[20.]
global_step=2438, episodic_return=[20.]
global_step=2448, episodic_return=[10.]
global_step=2473, episodic_return=[25.]
global_step=2486, episodic_return=[13.]
global_step=2496, episodic_return=[10.]
global_step=2544, episodic_return=[48.]
global_step=2584, episodic_return=[40.]
global_step=2620, episodic_return=[36.]
global_step=2639, episodic_return=[19.]
global_step=2653, episodic_return=[14.]
global_step=2677, episodic_return=[24.]
global_step=2700, episodic_return=[23.]
global_step=2739, episodic_return=[39.]
global_step=2790, episodic_return=[51.]
global_step=2810, episodic_return=[20.]
global_step=2873, episodic_return=[63.]
global_step=2883, episodic_return=[10.]
global_step=2899, episodic_return=[16.]
global_step=2925, episodic_return=[26.]
global_step=2937, episodic_return=[12.]
global_step=2969, episodic_return=[32.]
global_step=3000, episodic_return=[31.]
global_step=3018, episodic_return=[18.]
global_step=3042, episodic_return=[24.]
global_step=3061, episodic_return=[19.]
global_step=3084, episodic_return=[23.]
global_step=3120, episodic_return=[36.]
global_step=3131, episodic_return=[11.]
global_step=3152, episodic_return=[21.]
global_step=3178, episodic_return=[26.]
global_step=3208, episodic_return=[30.]
global_step=3244, episodic_return=[36.]
global_step=3276, episodic_return=[32.]
global_step=3306, episodic_return=[30.]
global_step=3336, episodic_return=[30.]
