[/bin/bash] 1102721############################################
[/bin/bash] ## Starting Python Python 3.8.3
[/bin/bash] ## Training using algorithm ppo from framework CleanRL
[/bin/bash] ## On environment CartPole-v1 with 100000 timesteps
[/bin/bash] ## This is repetition 1/3
[/bin/bash] ## This is s2989344 on node007 and this job has the ID 3933239
[/bin/bash] ##############################################
[/bin/bash] ## current working directory: /home/s2989344/Documents/MSc/CleanRL
[/bin/bash] ## current python version: Python 3.8.3
[/bin/bash] ## python from path: /home/s2989344/.conda/envs/CleanRL/bin/python
[/bin/bash] ## list of packages: # packages in environment at /home/s2989344/.conda/envs/CleanRL: # # Name Version Build Channel _libgcc_mutex 0.1 main _openmp_mutex 5.1 1_gnu absl-py 1.4.0 pypi_0 pypi ale-py 0.8.1 pypi_0 pypi appdirs 1.4.4 pypi_0 pypi autorom 0.4.2 pypi_0 pypi autorom-accept-rom-license 0.6.1 pypi_0 pypi ca-certificates 2025.2.25 h06a4308_0 cachetools 5.3.0 pypi_0 pypi certifi 2023.5.7 pypi_0 pypi charset-normalizer 3.1.0 pypi_0 pypi click 8.1.3 pypi_0 pypi cloudpickle 2.2.1 pypi_0 pypi colorama 0.4.4 pypi_0 pypi commonmark 0.9.1 pypi_0 pypi cycler 0.11.0 pypi_0 pypi decorator 4.4.2 pypi_0 pypi docker-pycreds 0.4.0 pypi_0 pypi docstring-parser 0.15 pypi_0 pypi farama-notifications 0.0.4 pypi_0 pypi filelock 3.12.0 pypi_0 pypi fonttools 4.38.0 pypi_0 pypi gitdb 4.0.10 pypi_0 pypi gitpython 3.1.31 pypi_0 pypi glfw 1.12.0 pypi_0 pypi google-auth 2.18.0 pypi_0 pypi google-auth-oauthlib 0.4.6 pypi_0 pypi grpcio 1.54.0 pypi_0 pypi gym 0.23.1 pypi_0 pypi gym-notices 0.0.8 pypi_0 pypi gymnasium 0.28.1 pypi_0 pypi huggingface-hub 0.11.1 pypi_0 pypi idna 3.4 pypi_0 pypi imageio 2.28.1 pypi_0 pypi imageio-ffmpeg 0.3.0 pypi_0 pypi importlib-metadata 5.2.0 pypi_0 pypi importlib-resources 5.12.0 pypi_0 pypi jax-jumpy 1.0.0 pypi_0 pypi kiwisolver 1.4.4 pypi_0 pypi ld_impl_linux-64 2.40 h12ee557_0 libffi 3.3 he6710b0_2 libgcc-ng 11.2.0 h1234567_1 libgomp 11.2.0 h1234567_1 libstdcxx-ng 11.2.0 h1234567_1 markdown 3.3.7 pypi_0 pypi markupsafe 2.1.2 pypi_0 pypi matplotlib 3.5.3 pypi_0 pypi moviepy 1.0.3 pypi_0 pypi mujoco 2.3.3 pypi_0 pypi ncurses 6.4 h6a678d5_0 numpy 1.24.4 pypi_0 pypi oauthlib 3.2.2 pypi_0 pypi opencv-python 4.7.0.72 pypi_0 pypi openssl 1.1.1w h7f8727e_0 packaging 23.1 pypi_0 pypi pandas 1.3.5 pypi_0 pypi pathtools 0.1.2 pypi_0 pypi pillow 9.5.0 pypi_0 pypi pip 24.2 py38h06a4308_0 proglog 0.1.10 pypi_0 pypi protobuf 3.20.3 pypi_0 pypi psutil 5.9.5 pypi_0 pypi pyasn1 0.5.0 pypi_0 pypi pyasn1-modules 0.3.0 pypi_0 pypi pygame 2.1.0 pypi_0 pypi pygments 2.15.1 pypi_0 pypi pyopengl 3.1.6 pypi_0 pypi pyparsing 3.0.9 pypi_0 pypi python 3.8.3 hcff3b4d_2 python-dateutil 2.8.2 pypi_0 pypi pytz 2023.3 pypi_0 pypi pyyaml 6.0.1 pypi_0 pypi readline 8.2 h5eee18b_0 requests 2.30.0 pypi_0 pypi requests-oauthlib 1.3.1 pypi_0 pypi rich 11.2.0 pypi_0 pypi rsa 4.7.2 pypi_0 pypi sentry-sdk 1.22.2 pypi_0 pypi setproctitle 1.3.2 pypi_0 pypi setuptools 67.7.2 pypi_0 pypi shimmy 1.1.0 pypi_0 pypi shtab 1.6.4 pypi_0 pypi six 1.16.0 pypi_0 pypi smmap 5.0.0 pypi_0 pypi sqlite 3.45.3 h5eee18b_0 stable-baselines3 2.0.0 pypi_0 pypi tenacity 8.2.3 pypi_0 pypi tensorboard 2.11.2 pypi_0 pypi tensorboard-data-server 0.6.1 pypi_0 pypi tensorboard-plugin-wit 1.8.1 pypi_0 pypi tk 8.6.14 h39e8969_0 torch 1.12.1 pypi_0 pypi tqdm 4.65.0 pypi_0 pypi typing 3.7.4.3 pypi_0 pypi typing-extensions 4.5.0 pypi_0 pypi tyro 0.5.10 pypi_0 pypi urllib3 1.26.15 pypi_0 pypi wandb 0.13.11 pypi_0 pypi werkzeug 2.2.3 pypi_0 pypi wheel 0.40.0 pypi_0 pypi xz 5.6.4 h5eee18b_1 zipp 3.15.0 pypi_0 pypi zlib 1.2.13 h5eee18b_1
[/bin/bash] ##############################################
[/bin/bash] ## Start run script
/home/s2989344/.conda/envs/CleanRL/lib/python3.8/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
global_step=10, episodic_return=[10.]
global_step=71, episodic_return=[61.]
global_step=82, episodic_return=[11.]
global_step=111, episodic_return=[29.]
global_step=138, episodic_return=[27.]
global_step=156, episodic_return=[18.]
global_step=177, episodic_return=[21.]
global_step=196, episodic_return=[19.]
global_step=218, episodic_return=[22.]
global_step=236, episodic_return=[18.]
global_step=249, episodic_return=[13.]
global_step=289, episodic_return=[40.]
global_step=303, episodic_return=[14.]
global_step=318, episodic_return=[15.]
global_step=359, episodic_return=[41.]
global_step=371, episodic_return=[12.]
global_step=384, episodic_return=[13.]
global_step=397, episodic_return=[13.]
global_step=417, episodic_return=[20.]
global_step=425, episodic_return=[8.]
global_step=452, episodic_return=[27.]
global_step=475, episodic_return=[23.]
global_step=531, episodic_return=[56.]
global_step=550, episodic_return=[19.]
global_step=569, episodic_return=[19.]
global_step=585, episodic_return=[16.]
global_step=596, episodic_return=[11.]
global_step=625, episodic_return=[29.]
global_step=639, episodic_return=[14.]
global_step=684, episodic_return=[45.]
global_step=700, episodic_return=[16.]
global_step=751, episodic_return=[51.]
global_step=770, episodic_return=[19.]
global_step=809, episodic_return=[39.]
global_step=828, episodic_return=[19.]
global_step=844, episodic_return=[16.]
global_step=854, episodic_return=[10.]
global_step=878, episodic_return=[24.]
global_step=910, episodic_return=[32.]
global_step=921, episodic_return=[11.]
global_step=932, episodic_return=[11.]
global_step=962, episodic_return=[30.]
global_step=985, episodic_return=[23.]
global_step=1004, episodic_return=[19.]
global_step=1015, episodic_return=[11.]
global_step=1031, episodic_return=[16.]
global_step=1046, episodic_return=[15.]
global_step=1060, episodic_return=[14.]
global_step=1076, episodic_return=[16.]
global_step=1089, episodic_return=[13.]
global_step=1098, episodic_return=[9.]
global_step=1138, episodic_return=[40.]
global_step=1182, episodic_return=[44.]
global_step=1217, episodic_return=[35.]
global_step=1236, episodic_return=[19.]
global_step=1253, episodic_return=[17.]
global_step=1279, episodic_return=[26.]
global_step=1300, episodic_return=[21.]
global_step=1320, episodic_return=[20.]
global_step=1336, episodic_return=[16.]
global_step=1379, episodic_return=[43.]
global_step=1404, episodic_return=[25.]
global_step=1418, episodic_return=[14.]
global_step=1427, episodic_return=[9.]
global_step=1440, episodic_return=[13.]
global_step=1477, episodic_return=[37.]
global_step=1494, episodic_return=[17.]
global_step=1523, episodic_return=[29.]
global_step=1563, episodic_return=[40.]
global_step=1574, episodic_return=[11.]
global_step=1601, episodic_return=[27.]
global_step=1616, episodic_return=[15.]
global_step=1636, episodic_return=[20.]
global_step=1663, episodic_return=[27.]
global_step=1682, episodic_return=[19.]
global_step=1694, episodic_return=[12.]
global_step=1727, episodic_return=[33.]
global_step=1759, episodic_return=[32.]
global_step=1783, episodic_return=[24.]
global_step=1866, episodic_return=[83.]
global_step=1883, episodic_return=[17.]
global_step=1894, episodic_return=[11.]
global_step=1924, episodic_return=[30.]
global_step=1947, episodic_return=[23.]
global_step=1966, episodic_return=[19.]
global_step=1978, episodic_return=[12.]
global_step=1999, episodic_return=[21.]
global_step=2014, episodic_return=[15.]
global_step=2032, episodic_return=[18.]
global_step=2044, episodic_return=[12.]
SPS: 527
global_step=2075, episodic_return=[31.]
global_step=2097, episodic_return=[22.]
global_step=2124, episodic_return=[27.]
global_step=2157, episodic_return=[33.]
global_step=2174, episodic_return=[17.]
global_step=2187, episodic_return=[13.]
global_step=2225, episodic_return=[38.]
global_step=2255, episodic_return=[30.]
global_step=2278, episodic_return=[23.]
global_step=2302, episodic_return=[24.]
global_step=2322, episodic_return=[20.]
global_step=2338, episodic_return=[16.]
global_step=2357, episodic_return=[19.]
global_step=2372, episodic_return=[15.]
global_step=2430, episodic_return=[58.]
global_step=2453, episodic_return=[23.]
global_step=2483, episodic_return=[30.]
global_step=2514, episodic_return=[31.]
global_step=2560, episodic_return=[46.]
global_step=2607, episodic_return=[47.]
global_step=2626, episodic_return=[19.]
global_step=2650, episodic_return=[24.]
global_step=2687, episodic_return=[37.]
global_step=2703, episodic_return=[16.]
global_step=2740, episodic_return=[37.]
global_step=2780, episodic_return=[40.]
global_step=2797, episodic_return=[17.]
global_step=2816, episodic_return=[19.]
global_step=2849, episodic_return=[33.]
global_step=2867, episodic_return=[18.]
global_step=2908, episodic_return=[41.]
global_step=2925, episodic_return=[17.]
global_step=2952, episodic_return=[27.]
global_step=2984, episodic_return=[32.]
global_step=3001, episodic_return=[17.]
global_step=3019, episodic_return=[18.]
global_step=3036, episodic_return=[17.]
global_step=3049, episodic_return=[13.]
global_step=3068, episodic_return=[19.]
global_step=3081, episodic_return=[13.]
global_step=3102, episodic_return=[21.]
global_step=3117, episodic_return=[15.]
global_step=3134, episodic_return=[17.]
global_step=3185, episodic_return=[51.]
global_step=3201, episodic_return=[16.]
global_step=3284, episodic_return=[83.]
global_step=3305, episodic_return=[21.]
global_step=3317, episodic_return=[12.]
global_step=3392, episodic_return=[75.]
global_step=3424, episodic_return=[32.]
global_step=3449, episodic_return=[25.]
global_step=3470, episodic_return=[21.]
global_step=3487, episodic_return=[17.]
